Chromosome,chromStart,chromEnd,Name,Stain
chr1,0,122678785,1.1,gneg
chr2,0,85426708,2.2,gneg
chr3,0,91889043,3.3,gneg
chr4,0,88276631,4.4,gneg
chr5,0,88915250,5.5,gneg
chr6,0,77573801,6.6,gneg
chr7,0,80974532,7.7,gneg
chr8,0,74330416,8.8,gneg
chr9,0,61074082,9.9,gneg
chr10,0,69331447,10.1,gneg
chr11,0,74389097,11.11,gneg
chr12,0,72498081,12.12,gneg
chr13,0,63241923,13.13,gneg
chr14,0,60966679,14.14,gneg
chr15,0,64190966,15.15,gneg
chr16,0,59632846,16.16,gneg
chr17,0,64289059,17.17,gneg
chr18,0,55844845,18.18,gneg
chr19,0,53741614,19.19,gneg
chr20,0,58134056,20.2,gneg
chr21,0,50858623,21.21,gneg
chr22,0,61439934,22.22,gneg
chr23,0,52294480,23.23,gneg
chr24,0,47698779,24.24,gneg
chr25,0,51628933,25.25,gneg
chr26,0,38964690,26.26,gneg
chr27,0,45876710,27.27,gneg
chr28,0,41182112,28.28,gneg
chr29,0,41845238,29.29,gneg
chr30,0,40214260,30.3,gneg
chr31,0,39895921,31.31,gneg
chr32,0,38810281,32.32,gneg
chr33,0,31377067,33.33,gneg
chr34,0,42124431,34.34,gneg
chr35,0,26524999,35.35,gneg
chr36,0,30810995,36.36,gneg
chr37,0,30902991,37.37,gneg
chr38,0,23914537,38.38,gneg
chrMT,0,16727,MT.39,gneg
chrX,0,123869142,X.40,gneg
